image_name,image_patch_index,corr_max_1,corr_max_2,corr_max_3,corr_max_4,corr_max_5,corr_max_6,corr_max_7,corr_max_8,eudist_1,eudist_2,eudist_3,eudist_4,eudist_5,eudist_6,eudist_7,eudist_8,Variance,Entropy,type
0,0,0,0,0,0,3183005,0,4237925,77661,0.240273403,0.240273403,0.240273403,0.240273403,0.298883742,0.240273403,0.145837388,0.605491823,479.9911604,0.562764126,Forged
0,1,0,4237925,91111,0,27168,0,4396876,405015,0.364844176,0.145837388,0.154199853,0.364844176,0.460916546,0.364844176,0.106992051,0.29136762,267.8117069,1.084759626,Forged
0,2,0,4396876,27425,0,400374,0,4318536,507553,0.449805412,0.106992051,0.439037968,0.449805412,0.285012571,0.449805412,0.054209418,0.246048362,301.2711847,1.150058957,Forged
0,3,0,4318536,382619,0,2636872,0,0,0,0.404563513,0.054209418,0.327213228,0.404563513,0.294943335,0.404563513,0.404563513,0.404563513,475.8839247,0.671370697,Forged
0,4,0,0,0,3183005,2755253,91111,54487,149261,0.506598422,0.506598422,0.506598422,0.298883742,0.53658103,0.154199853,0.308796469,0.527116333,175.5420691,1.457156394,Forged
0,5,77661,54487,60266,27168,7289,27425,19127,22061,0.605491823,0.308796469,0.230527716,0.460916546,0.219818044,0.439037968,0.230299169,1.003977836,8.150879439,1.952459107,Forged
0,6,405015,19127,21161,400374,128162,382619,148631,122111,0.29136762,0.230299169,0.430150735,0.285012571,1.096428623,0.327213228,0.110566011,0.84234951,126.1608936,3.866179078,Forged
0,7,507553,148631,255538,2636872,1274349,0,0,0,0.246048362,0.110566011,1.146618863,0.294943335,0.881507846,0.635756035,0.635756035,0.635756035,190.4686635,2.58567993,Forged
0,8,0,0,0,2755253,1986615,60266,161029,105432,1.01388601,1.01388601,1.01388601,0.53658103,0.26370721,0.230527716,0.031718044,0.247933693,197.6450702,2.529105751,Original
0,9,149261,161029,119890,7289,64352,21161,25461,68369,0.527116333,0.031718044,0.251180957,0.219818044,0.229766641,0.430150735,0.849925797,0.40765873,9.481581435,2.116265135,Original
